127.0.0.1 - - [04/Feb/2021:11:15:57 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Feb/2021:11:16:18 +0530] "GET /smartDoc/index.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [04/Feb/2021:11:16:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [04/Feb/2021:11:18:31 +0530] "POST /smartDoc/webapi/myresource/registerPatient HTTP/1.1" 200 1
127.0.0.1 - - [04/Feb/2021:11:18:32 +0530] "GET /smartDoc/webapi/myresource/getAllDepartments/ HTTP/1.1" 200 916
127.0.0.1 - - [04/Feb/2021:11:19:10 +0530] "POST /smartDoc/webapi/myresource/registerAppointment HTTP/1.1" 200 1
127.0.0.1 - - [04/Feb/2021:11:19:14 +0530] "GET /smartDoc/webapi/myresource/getAllDepartments/ HTTP/1.1" 200 916
127.0.0.1 - - [04/Feb/2021:11:19:34 +0530] "POST /smartDoc/webapi/myresource/registerAppointment HTTP/1.1" 200 1
127.0.0.1 - - [04/Feb/2021:11:19:38 +0530] "GET /smartDoc/webapi/myresource/getAllDepartments/ HTTP/1.1" 200 916
127.0.0.1 - - [04/Feb/2021:11:19:54 +0530] "GET /smartDoc/webapi/myresource/getDoctorByUserPass/nikitha@123/123 HTTP/1.1" 200 196
127.0.0.1 - - [04/Feb/2021:11:19:54 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 1645
127.0.0.1 - - [04/Feb/2021:11:19:55 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [04/Feb/2021:11:19:55 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [04/Feb/2021:11:19:55 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [04/Feb/2021:11:19:56 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [04/Feb/2021:11:19:56 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [04/Feb/2021:11:19:56 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [04/Feb/2021:11:19:56 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [04/Feb/2021:11:19:57 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [04/Feb/2021:11:19:57 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [04/Feb/2021:11:19:57 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [04/Feb/2021:11:19:58 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [04/Feb/2021:11:19:58 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [04/Feb/2021:11:20:07 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 1645
127.0.0.1 - - [04/Feb/2021:11:20:07 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [04/Feb/2021:11:20:07 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [04/Feb/2021:11:20:07 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [04/Feb/2021:11:20:12 +0530] "GET /smartDoc/webapi/myresource/sendMail/vineeshanamana321@gmail.com/SMARTDOC:%20Regarding%20Approval%20Of%20Appointment/Hello,%20Your%20Appointment%20booked%20on%201614364200000%20at%20Afternoon%20with%20Dr.nikitha%20-%20Cardiologist%20was%20approved.%20Thank%20you%20for%20choosing%20our%20Hospital HTTP/1.1" 200 10
127.0.0.1 - - [04/Feb/2021:11:20:18 +0530] "PUT /smartDoc/webapi/myresource/updateAppointment HTTP/1.1" 204 -
127.0.0.1 - - [04/Feb/2021:11:20:20 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 1422
127.0.0.1 - - [04/Feb/2021:11:20:20 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [04/Feb/2021:11:20:20 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [04/Feb/2021:11:20:20 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [04/Feb/2021:11:20:23 +0530] "GET /smartDoc/webapi/myresource/sendMail/vineeshanamana321@gmail.com/SMARTDOC:%20Regarding%20Approval%20Of%20Appointment/Hello,%20Your%20Appointment%20booked%20on%201614364200000%20at%20Afternoon%20with%20Dr.nikitha%20-%20Cardiologist%20was%20approved.%20Thank%20you%20for%20choosing%20our%20Hospital HTTP/1.1" 200 10
127.0.0.1 - - [04/Feb/2021:11:20:43 +0530] "DELETE /smartDoc/webapi/myresource/deleteAppointment/18 HTTP/1.1" 204 -
